Day/Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,311,280,250,219,189,157,126,94,62,32,1,0
2,310,279,250,218,188,156,125,93,62,31,0,0
3,309,278,249,217,186,154,124,92,61,30,0,0
4,308,277,248,216,185,153,123,91,60,29,0,0
5,307,276,247,215,184,152,122,90,59,29,0,0
6,306,275,246,214,183,151,121,89,58,28,0,0
7,305,274,245,213,182,150,120,88,57,27,0,0
8,304,273,243,211,181,149,119,87,56,26,0,0
9,303,272,242,210,180,148,118,86,55,25,0,0
10,302,271,241,209,179,147,117,86,54,24,0,0
11,301,269,240,208,177,146,116,85,53,23,0,0
12,300,268,239,207,176,145,115,84,52,22,0,0
13,299,267,238,206,175,144,114,83,51,21,0,0
14,298,266,236,205,175,143,113,82,50,20,0,0
15,297,265,235,204,174,142,112,81,49,19,0,0
16,295,264,234,203,173,142,111,80,48,18,0,0
17,294,263,233,202,172,141,110,79,47,16,0,0
18,293,262,232,201,171,140,109,78,46,15,0,0
19,292,261,231,200,170,139,108,77,45,14,0,0
20,291,260,230,199,169,138,107,75,44,13,0,0
21,290,259,230,198,168,137,106,74,42,12,0,0
22,289,258,229,198,167,136,105,73,41,11,0,0
23,288,257,228,197,166,135,104,72,40,9,0,0
24,287,256,227,196,165,134,103,71,39,8,0,0
25,286,255,226,195,164,133,102,70,38,7,0,0
26,285,254,225,194,163,131,101,69,37,7,0,0
27,285,253,224,193,162,130,99,67,36,6,0,0
28,284,253,223,192,161,129,98,66,35,5,0,0
29,283,252,222,191,160,128,97,65,34,4,0,0
30,282,,221,190,159,127,96,64,33,3,0,0
31,281,,220,,158,,95,63,,2,,0
